ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359
7,2019-11-17,101,101,microtrip,27.0,,,,,,,12.0,,,23.0,26.0,15.0,,22.0,14.0,25.0,19.0,12.0,,24.0,,,
7,2019-11-17,101,104,microtrip,,,,,,,,,,16.0,,,,,,11.0,,,,,17.0,,,
7,2019-11-17,101,107,private_transport,,,,,,,,,,,,,,,,21.0,,,,,,,,
7,2019-11-17,101,110,microtrip,,,,,,,,18.0,,,,,,,,,,,,,,,,
7,2019-11-17,101,111,microtrip,,,,,,,,11.0,,,,,,,,,,13.0,14.0,,,,,
7,2019-11-17,101,112,private_transport,,,,53.0,,,,,,,,,,,,,,,,,,,,
7,2019-11-17,101,115,microtrip,,,,,,,,,,,,,,,,12.0,,10.0,,,,,,
7,2019-11-17,101,116,microtrip,,,,,,,,,,,,,,,,,,,,,,,,11.0
7,2019-11-17,101,117,microtrip,,,,,,,,,14.0,,,,,,,,,,,11.0,,,,
7,2019-11-17,101,119,microtrip,,,,,,,,,,,,,,,,,10.0,13.0,,,,,,
7,2019-11-17,101,125,microtrip,20.0,,,,,,10.0,10.0,,18.0,23.0,,18.0,19.0,,20.0,13.0,15.0,34.0,29.0,24.0,31.0,13.0,
7,2019-11-17,101,130,microtrip,,,,,,,,10.0,12.0,,,,,,16.0,,13.0,,,15.0,,,,
7,2019-11-17,101,130,private_transport,,,,,,,,,,,,,,,,,,,43.0,,,,,
7,2019-11-17,101,131,microtrip,10.0,,,,,,,,,,,,,17.0,10.0,,,14.0,,,11.0,16.0,,
7,2019-11-17,101,134,microtrip,,,,,,,,,,,,,,,,,,12.0,,,11.0,,,
7,2019-11-17,101,135,microtrip,,,,,,,,,,,,,,,,,,,,,,13.0,,
7,2019-11-17,101,136,microtrip,,,,,,,,,,10.0,,,10.0,,,15.0,11.0,,,,,11.0,10.0,
7,2019-11-17,101,137,microtrip,,,,,,,,,,12.0,,,,,,,,,,,,,,
7,2019-11-17,101,145,microtrip,21.0,,,,,,,,,11.0,19.0,,15.0,14.0,,,14.0,,18.0,10.0,12.0,18.0,,
7,2019-11-17,101,146,microtrip,,,,,,,,,,16.0,,,,,,,,,,,,,,
7,2019-11-17,101,147,microtrip,,,,,,,,,,10.0,,,,,,10.0,,,,,,,,
7,2019-11-17,101,148,private_transport,,,,,,,,,,,,,,,73.0,,,,,,,,,
7,2019-11-17,101,149,private_transport,,,,,,,,,,,,,,,12.0,,,,,,,,,
7,2019-11-17,101,150,microtrip,,,,,,,,,,,,,,,,,13.0,,,11.0,,,,
7,2019-11-17,101,154,microtrip,,,,,,,,,,,11.0,,,,,,,,,,,,,
7,2019-11-17,101,157,private_transport,,,,20.0,,,,,,,,,,,,,,,,,,,,
7,2019-11-17,101,160,microtrip,,,,,,,,,,,,10.0,,,,10.0,,,,13.0,,,,
7,2019-11-17,101,165,bus,,,,,,,,,,,,,,,,11.0,,,,,,,,
7,2019-11-17,101,165,private_transport,,,,,,,,,,,,,,,11.0,47.0,,,,,,,,
7,2019-11-17,101,166,microtrip,,,,,,,,,,,,,16.0,,21.0,15.0,13.0,,13.0,,15.0,11.0,,
7,2019-11-17,101,170,microtrip,,,,,,,,,,,,,10.0,,,,,,,,,,,
7,2019-11-17,101,202,private_transport,,,,,,,,,,,,,,,12.0,,,,,,,,,
7,2019-11-17,101,203,private_transport,,,,,,,,,,,,,,,44.0,,,,,,,,,
7,2019-11-17,101,204,microtrip,,,,,,,,,,11.0,,,,,,,,,11.0,,,,,
7,2019-11-17,101,205,microtrip,,,,,,,,,,,,10.0,,,,,,,,,,,,
7,2019-11-17,101,207,private_transport,,,,,,,,16.0,,,,,,,,,,,,,,,,
7,2019-11-17,102,102,bus,,,,,,11.0,,,,13.0,,,,,,,,,,,,,,
7,2019-11-17,102,102,microtrip,56.0,20.0,27.0,,16.0,,42.0,44.0,37.0,74.0,65.0,98.0,95.0,59.0,59.0,69.0,117.0,84.0,96.0,108.0,69.0,58.0,46.0,15.0
7,2019-11-17,102,102,private_transport,40.0,,,,,16.0,,,41.0,13.0,10.0,,21.0,,,,,,19.0,,,15.0,,
7,2019-11-17,102,103,microtrip,13.0,,,,,,,,,,21.0,37.0,22.0,,10.0,19.0,19.0,,12.0,17.0,21.0,17.0,,
7,2019-11-17,102,103,private_transport,26.0,,,,,,,,,,,,,,,,,,,,,,,
7,2019-11-17,102,104,microtrip,10.0,,,,,,,,,,12.0,,11.0,,,11.0,,14.0,23.0,,,,,
7,2019-11-17,102,105,microtrip,,,,,,,,,,,,,,,14.0,,,,,14.0,,,,
7,2019-11-17,102,106,microtrip,,,,,,,,,,,,19.0,,12.0,16.0,12.0,13.0,14.0,,,,,,
7,2019-11-17,102,107,microtrip,13.0,,,,,,,,,,,,,,,,,10.0,,13.0,,,,
7,2019-11-17,102,108,private_transport,,,,,,,,,,,19.0,,,,,,,,,,,,,
7,2019-11-17,102,110,microtrip,12.0,,,,11.0,,,,,,12.0,,21.0,,,,16.0,11.0,,23.0,,12.0,,
7,2019-11-17,102,110,private_transport,,,,12.0,,,,,14.0,,,,,,,,,,,,,,,
7,2019-11-17,102,111,microtrip,,,,,,,,,,,,,13.0,,,,,,,,,,12.0,
7,2019-11-17,102,112,private_transport,33.0,,,,,,,,,,,,,,,,,,,,,,,
7,2019-11-17,102,113,bus,,,,,,,,,,,,,,,,,11.0,,,,,,,
7,2019-11-17,102,113,microtrip,13.0,,,,,,,,,13.0,,18.0,17.0,,,14.0,18.0,19.0,,,20.0,,,
7,2019-11-17,102,113,private_transport,,,,,,,,,10.0,,,,,,,15.0,14.0,,,,,,,
7,2019-11-17,102,114,bus,,,,,,,,,,,,,,,,16.0,,,,,,,,
